At1,At2,Class
-717,1.23,BananaShape2
955,-0.0158,BananaShape2
1.6,-183,BananaShape2
-1.21,-733,BananaShape1
-593,1.28,BananaShape2
1.14,814,BananaShape2
-597,232,BananaShape1
575,-0.19,BananaShape1
-1.34,-0.31,BananaShape1
-129,-61,BananaShape1
447,0.92,BananaShape2
377,-643,BananaShape1
-1.54,643,BananaShape2
-1.25,-689,BananaShape1
2.34,1.18,BananaShape1
-341,1.55,BananaShape2
1.27,0.0842,BananaShape2
-1.73,562,BananaShape2
957,0.0986,BananaShape2
-639,-1.04,BananaShape2
303,-1.35,BananaShape2
-439,1.37,BananaShape2
-287,-1.07,BananaShape2
1.46,651,BananaShape2
957,-786,BananaShape1
-0.0107,-0.96,BananaShape2
1.21,0.0512,BananaShape2
105,-1.67,BananaShape2
786,859,BananaShape2
-1.08,356,BananaShape1
0.0909,-1.39,BananaShape2
-1.34,805,BananaShape2
-647,1.08,BananaShape2
1.17,-1.4,BananaShape1
-811,-1.35,BananaShape2
-961,-102,BananaShape1
-968,-226,BananaShape1
-322,535,BananaShape1
-1.26,-515,BananaShape1
0.62,-986,BananaShape1
-2.32,0.0861,BananaShape2
1.21,1.31,BananaShape1
196,1.08,BananaShape2
1.45,1.33,BananaShape1
137,-247,BananaShape1
-974,-1.43,BananaShape2
-335,-1.69,BananaShape2
-0.0999,1.97,BananaShape1
272,813,BananaShape2
0.56,1.18,BananaShape2
-0.0527,-746,BananaShape2
-188,-998,BananaShape2
-369,692,BananaShape1
-226,-1.06,BananaShape2
458,-709,BananaShape1
-1.26,-912,BananaShape2
-1.33,-392,BananaShape1
-621,1.52,BananaShape2
-753,1.1,BananaShape2
-435,-1.08,BananaShape2
328,1.28,BananaShape2
227,1.71,BananaShape1
-715,0.0859,BananaShape1
0.81,1.93,BananaShape2
364,1.98,BananaShape1
624,1.1,BananaShape2
922,0.93,BananaShape2
-416,-941,BananaShape2
-1.37,968,BananaShape2
269,1.62,BananaShape1
353,1.58,BananaShape2
0.11,553,BananaShape1
1.49,385,BananaShape2
571,-1.53,BananaShape2
171,1.59,BananaShape1
409,-0.0572,BananaShape1
1.93,-842,BananaShape2
907,191,BananaShape2
0.0413,345,BananaShape1
484,-1.3,BananaShape2
-0.0305,-1.09,BananaShape2
1,-0.0897,BananaShape2
1.09,299,BananaShape2
-543,-0.0204,BananaShape1
659,913,BananaShape2
-542,-739,BananaShape2
-1.02,1.53,BananaShape2
-1.63,293,BananaShape2
1.49,627,BananaShape2
-583,-1.05,BananaShape2
-807,1.12,BananaShape2
-683,1.38,BananaShape2
0.0734,-162,BananaShape1
388,1.64,BananaShape2
874,1.79,BananaShape2
584,679,BananaShape2
1.42,374,BananaShape2
-779,676,BananaShape1
678,335,BananaShape2
204,-1.06,BananaShape2
1.43,498,BananaShape2
-779,-1.2,BananaShape2
-1.3,577,BananaShape2
1.03,0.0331,BananaShape2
-532,-1.17,BananaShape2
119,-1.28,BananaShape2
1.53,-1.05,BananaShape1
-481,-904,BananaShape2
858,399,BananaShape2
126,819,BananaShape2
-0.88,-1.27,BananaShape2
145,-626,BananaShape1
534,1.86,BananaShape1
2.03,1.1,BananaShape1
-546,442,BananaShape1
1.42,1.8,BananaShape1
1.41,-2.09,BananaShape1
-566,-563,BananaShape1
-973,495,BananaShape1
932,1.43,BananaShape1
472,1.37,BananaShape2
0.74,53,BananaShape1
-214,1.76,BananaShape2
-0.53,-944,BananaShape2
-936,-1.5,BananaShape2
0.37,-0.0513,BananaShape1
695,651,BananaShape2
0.88,275,BananaShape2
-563,-164,BananaShape1
1.27,-675,BananaShape1
-1.32,-146,BananaShape1
1.7,-489,BananaShape2
832,442,BananaShape2
561,1.74,BananaShape1
617,1.11,BananaShape2
-1.41,1.14,BananaShape2
1.71,-225,BananaShape2
473,339,BananaShape1
-855,1.44,BananaShape2
-1.72,-0.41,BananaShape1
0.18,-0.0627,BananaShape1
712,837,BananaShape2
211,1.71,BananaShape1
-755,-759,BananaShape1
661,1.2,BananaShape2
902,947,BananaShape2
544,-842,BananaShape1
1.67,974,BananaShape1
-0.0571,-1.5,BananaShape2
-1.61,-0.39,BananaShape1
-261,-1.27,BananaShape2
1.8,1.53,BananaShape1
134,-1.18,BananaShape2
-279,-1.06,BananaShape2
405,-555,BananaShape1
-1.64,-562,BananaShape1
-146,1.83,BananaShape1
499,-1.17,BananaShape2
-171,-1.09,BananaShape2
-175,-946,BananaShape2
1.54,-336,BananaShape2
1.33,406,BananaShape2
833,653,BananaShape2
0.69,1.57,BananaShape2
-542,918,BananaShape2
1.19,-319,BananaShape1
1.73,1.26,BananaShape1
-2.01,439,BananaShape2
316,1.43,BananaShape1
933,711,BananaShape2
2.43,869,BananaShape1
-472,-1.16,BananaShape2
-1.17,126,BananaShape1
2.22,-2.04,BananaShape2
1.07,438,BananaShape2
-125,521,BananaShape1
857,875,BananaShape2
569,-858,BananaShape2
646,-932,BananaShape1
-983,1.1,BananaShape2
-829,1.06,BananaShape2
0.22,-867,BananaShape2
-2.09,-1.22,BananaShape1
-1.64,-962,BananaShape1
0.0604,1.64,BananaShape2
1.62,-1.16,BananaShape1
-21,-1.09,BananaShape2
-1.11,-653,BananaShape1
1.13,-0.0116,BananaShape2
-838,-1.17,BananaShape2
102,-1.03,BananaShape2
576,-1.05,BananaShape1
635,1.67,BananaShape1
336,611,BananaShape1
0.32,-998,BananaShape2
-1.58,-1.61,BananaShape1
-129,-1.69,BananaShape2
-249,505,BananaShape1
-986,-1.27,BananaShape2
335,-483,BananaShape1
133,-568,BananaShape1
1.08,-1.02,BananaShape1
-486,-887,BananaShape2
2.08,1.35,BananaShape1
638,1.11,BananaShape2
0.0965,-1.1,BananaShape2
1.03,-382,BananaShape1
-705,129,BananaShape1
1.35,1.1,BananaShape1
-0.1,-1.05,BananaShape2
431,-1.56,BananaShape2
-1.37,-123,BananaShape1
-995,-832,BananaShape2
-981,-1.04,BananaShape2
-1.9,-1.32,BananaShape1
982,-452,BananaShape1
-494,-719,BananaShape2
995,502,BananaShape2
-507,357,BananaShape1
0.0853,789,BananaShape1
-0.0659,-1.33,BananaShape2
-1.51,-276,BananaShape1
-1.03,681,BananaShape2
1.19,-1.25,BananaShape1
-1.49,228,BananaShape1
409,1.76,BananaShape2
-606,-129,BananaShape1
1.18,597,BananaShape2
108,-304,BananaShape1
418,-897,BananaShape1
381,1.55,BananaShape2
-951,-1.3,BananaShape2
-119,2.06,BananaShape1
1.14,148,BananaShape2
1.31,1.62,BananaShape1
724,417,BananaShape2
-107,-232,BananaShape1
-1.57,905,BananaShape2
-214,1.58,BananaShape2
-212,-155,BananaShape1
-0.0683,-404,BananaShape1
-951,-1.33,BananaShape2
533,541,BananaShape1
-1.36,887,BananaShape2
0.98,-832,BananaShape1
-1.29,1.52,BananaShape2
1.08,-8.17E-04,BananaShape2
-147,1.85,BananaShape2
-135,0.0707,BananaShape1
318,-0.87,BananaShape2
632,1.74,BananaShape2
-1.43,1.25,BananaShape2
-499,-1.31,BananaShape2
296,1.51,BananaShape2
416,0.1,BananaShape1
-337,1.48,BananaShape2
-1.3,-829,BananaShape1
-0.0299,617,BananaShape1
-1.78,-843,BananaShape1
314,-1.25,BananaShape2
-801,1.78,BananaShape2
0.0984,629,BananaShape1
-1.68,-528,BananaShape1
423,598,BananaShape1
0.00295,-125,BananaShape1
-528,-1.23,BananaShape2
0.17,-719,BananaShape2
202,-1.37,BananaShape2
535,1.99,BananaShape2
-491,1.22,BananaShape2
-1.33,-276,BananaShape1
595,546,BananaShape1
-219,524,BananaShape1
0.0182,1.68,BananaShape2
-907,416,BananaShape1
1.86,-0.36,BananaShape2
-733,-1.34,BananaShape2
-1.39,-322,BananaShape1
0.0578,-1.32,BananaShape2
-1.7,869,BananaShape2
-166,165,BananaShape1
-0.8,-1.38,BananaShape2
-1.02,-146,BananaShape1
-145,-1.39,BananaShape2
-439,331,BananaShape1
136,1.46,BananaShape1
-669,0.51,BananaShape1
-1.49,-0.0266,BananaShape1
386,-997,BananaShape2
812,-0.15,BananaShape1
-303,-883,BananaShape2
-621,1.16,BananaShape2
-2.04,-978,BananaShape1
-772,933,BananaShape2
-1.06,-0.86,BananaShape1
0.0914,493,BananaShape1
-1.17,222,BananaShape1
553,-159,BananaShape1
759,0.0328,BananaShape1
-1.04,-1.24,BananaShape2
974,-951,BananaShape1
0.33,-1.48,BananaShape2
105,1.77,BananaShape2
-1.02,-305,BananaShape1
-635,1.94,BananaShape1
0.44,1.16,BananaShape2
-0.97,-1.6,BananaShape2
2.22,1.31,BananaShape1
-1.18,-122,BananaShape1
1.46,0.0665,BananaShape2
219,1.59,BananaShape1
1.09,812,BananaShape2
1.15,1.68,BananaShape1
955,-0.23,BananaShape1
-103,0.0369,BananaShape1
619,1.65,BananaShape2
-1.43,-357,BananaShape1
-765,-1.13,BananaShape2
-664,1.18,BananaShape2
-1.09,289,BananaShape1
-766,1.06,BananaShape2
-436,821,BananaShape1
0.6,-0.38,BananaShape1
-124,181,BananaShape1
1.03,-0.0835,BananaShape2
-1.71,-1.27,BananaShape1
-1.46,-179,BananaShape1
1.34,1.37,BananaShape1
1.47,574,BananaShape2
716,487,BananaShape2
0.0337,-1.13,BananaShape2
-432,-1.34,BananaShape2
344,1.49,BananaShape2
1.29,-151,BananaShape2
1.85,-558,BananaShape2
0.0319,1.39,BananaShape2
1.95,1.09,BananaShape1
-839,111,BananaShape1
-956,-0.77,BananaShape2
1.08,839,BananaShape2
0.0624,-1.05,BananaShape2
-1.06,-1.24,BananaShape2
-366,-1.52,BananaShape2
-1.63,-363,BananaShape1
1.05,1.07,BananaShape2
-0.47,-1.12,BananaShape2
-1.45,377,BananaShape2
-1.56,-1.05,BananaShape1
912,2.1,BananaShape2
1.61,582,BananaShape2
208,-1.21,BananaShape2
929,-902,BananaShape1
-1.66,-1.52,BananaShape1
-1.85,-347,BananaShape1
-1.02,-0.0308,BananaShape1
569,-538,BananaShape1
1.43,-366,BananaShape2
1.47,-0.0578,BananaShape2
154,629,BananaShape1
-1.59,176,BananaShape2
801,1.14,BananaShape2
-1.5,-829,BananaShape1
271,0.0595,BananaShape1
188,914,BananaShape2
-386,1.5,BananaShape2
1.02,0.0541,BananaShape2
0.82,-514,BananaShape1
804,0.6,BananaShape2
-1.38,-1.11,BananaShape1
-1.01,-155,BananaShape1
683,1.6,BananaShape1
-1.62,-896,BananaShape1
-0.00515,1.75,BananaShape2
-1.42,-1.28,BananaShape1
-1.8,-1.26,BananaShape1
-1.76,-632,BananaShape1
-0.0958,-1.66,BananaShape2
-473,-1.55,BananaShape2
-316,-1.36,BananaShape2
-899,-1.25,BananaShape2
-236,-1.54,BananaShape2
546,-1.12,BananaShape2
1.16,-1.3,BananaShape1
0.00921,-0.00839,BananaShape1
1.63,-0.43,BananaShape2
-826,682,BananaShape2
371,-1.23,BananaShape2
-821,-855,BananaShape1
309,-1.03,BananaShape2
-912,-484,BananaShape1
365,632,BananaShape2
1.15,-1.69,BananaShape1
-714,-1.36,BananaShape2
-467,1.3,BananaShape2
177,-1.07,BananaShape2
589,557,BananaShape1
-1.85,-0.35,BananaShape1
676,892,BananaShape2
-1.49,-498,BananaShape1
-1.28,0.72,BananaShape2
166,-1.25,BananaShape2
448,0.71,BananaShape2
-1.9,-1.46,BananaShape1
-922,533,BananaShape2
307,0.12,BananaShape1
328,553,BananaShape2
-847,-871,BananaShape2
1.08,437,BananaShape2
173,-428,BananaShape1
-818,-0.69,BananaShape1
-583,-743,BananaShape2
-768,-0.0166,BananaShape1
-2.04,131,BananaShape2
-1.16,-1.01,BananaShape2
995,131,BananaShape1
1.32,-616,BananaShape1
993,397,BananaShape1
-606,3.19,BananaShape2
811,0.00911,BananaShape1
-462,-707,BananaShape2
304,-0.00393,BananaShape1
-1.94,598,BananaShape2
-372,1.54,BananaShape2
341,-1.43,BananaShape2
-0.78,-0.43,BananaShape1
247,-233,BananaShape1
-561,473,BananaShape1
-524,-1.09,BananaShape2
-1.99,-912,BananaShape1
-2,-0.0624,BananaShape2
554,1.19,BananaShape2
899,1.4,BananaShape1
794,1.01,BananaShape2
417,348,BananaShape1
-597,-1.6,BananaShape2
1.71,-289,BananaShape2
-461,343,BananaShape1
-1.02,-469,BananaShape1
-434,1.98,BananaShape2
-299,-1.4,BananaShape2
-1.67,-875,BananaShape1
-192,1.04,BananaShape2
108,-769,BananaShape2
-0.58,1.34,BananaShape2
-1.17,-0.95,BananaShape1
-124,-0.95,BananaShape2
283,-1.56,BananaShape2
418,-711,BananaShape1
1.2,286,BananaShape2
295,-273,BananaShape1
-1.37,-904,BananaShape1
0.0175,1.47,BananaShape2
1.64,513,BananaShape2
557,1.38,BananaShape2
-878,659,BananaShape2
254,2.42,BananaShape2
961,454,BananaShape2
-994,192,BananaShape1
-1.07,-622,BananaShape1
1.95,1.53,BananaShape1
281,-0.4,BananaShape1
1.29,283,BananaShape2
586,-273,BananaShape1
-0.0272,1.86,BananaShape1
-1.65,-0.0692,BananaShape1
1.22,-345,BananaShape2
-1.53,132,BananaShape1
-1.51,-248,BananaShape1
-1.2,-1.04,BananaShape2
299,1.52,BananaShape2
-687,1.01,BananaShape2
479,-821,BananaShape2
1.08,-133,BananaShape2
-888,-1.59,BananaShape2
-1.52,497,BananaShape2
198,-1.41,BananaShape2
-211,-492,BananaShape1
0.0647,-1.22,BananaShape2
-1.28,-1.07,BananaShape1
-0.0779,-967,BananaShape2
369,1.69,BananaShape2
-826,-966,BananaShape2
-394,1.6,BananaShape2
1.2,-0.68,BananaShape1
942,1.89,BananaShape1
-817,-1.11,BananaShape2
405,1.93,BananaShape2
666,-1.52,BananaShape2
152,-964,BananaShape2
-0.82,-0.76,BananaShape1
0.72,-316,BananaShape1
-201,596,BananaShape1
-594,-1.21,BananaShape2
-1.07,0.0456,BananaShape1
1.05,397,BananaShape2
-1.12,-1.2,BananaShape2
1.5,-0.38,BananaShape2
-2.06,-1.23,BananaShape1
785,158,BananaShape1
867,-1.19,BananaShape1
624,-1.31,BananaShape2
-509,-932,BananaShape2
-565,-853,BananaShape2
0.0662,1.62,BananaShape2
0.0852,-852,BananaShape2
399,-1.48,BananaShape2
1.27,433,BananaShape2
-441,-1.45,BananaShape2
1,285,BananaShape1
-1.01,-1.47,BananaShape2
873,-1.03,BananaShape1
-144,-1.03,BananaShape2
1.25,-1.62,BananaShape1
-149,816,BananaShape1
893,691,BananaShape2
-136,-1.41,BananaShape2
569,1.44,BananaShape2
-1.93,-0.0856,BananaShape1
-625,1.65,BananaShape2
-1.16,-285,BananaShape1
-903,-988,BananaShape2
486,1.05,BananaShape2
-0.0145,-1.15,BananaShape2
-678,-1.32,BananaShape2
1.29,-499,BananaShape2
-116,1.26,BananaShape2
1.1,-374,BananaShape1
1.06,913,BananaShape2
0.19,969,BananaShape1
-487,-1.19,BananaShape2
-1.79,-1.46,BananaShape1
-0.0388,-984,BananaShape2
893,-327,BananaShape1
1.38,-244,BananaShape2
1.01,-1.12,BananaShape1
-1.58,-352,BananaShape1
1.52,-1.12,BananaShape1
136,-1.49,BananaShape2
538,-1.39,BananaShape2
-503,1.35,BananaShape2
-991,114,BananaShape1
675,-1.53,BananaShape2
-581,-1.34,BananaShape2
-1.38,-1.08,BananaShape1
-298,-823,BananaShape2
0.0919,-154,BananaShape1
-1.01,1.21,BananaShape2
-1.89,-418,BananaShape1
2.22,1.18,BananaShape1
0.0608,-1.23,BananaShape2
677,1.03,BananaShape2
641,1.72,BananaShape1
-539,648,BananaShape1
934,358,BananaShape2
0.0105,-1.26,BananaShape2
-0.86,-1.27,BananaShape2
883,-1,BananaShape1
2.32,1.3,BananaShape1
-566,-1.62,BananaShape2
-1.25,-1.14,BananaShape1
2.69,1.12,BananaShape1
-529,-1.22,BananaShape2
1.39,1.52,BananaShape1
1.21,-132,BananaShape2
126,-1.08,BananaShape2
-967,1.22,BananaShape2
-121,-498,BananaShape1
1.4,0.43,BananaShape2
994,348,BananaShape2
-193,-288,BananaShape1
-545,-1.31,BananaShape2
1.06,-232,BananaShape2
1.06,763,BananaShape2
646,1.23,BananaShape2
673,1.07,BananaShape2
-512,-954,BananaShape2
-701,1.17,BananaShape2
-957,848,BananaShape1
-676,797,BananaShape2
1.47,-0.0839,BananaShape2
514,715,BananaShape2
-451,-1.34,BananaShape2
-484,615,BananaShape1
1.17,868,BananaShape2
1.2,318,BananaShape2
-795,276,BananaShape1
-6.89E-04,2,BananaShape1
-2.06,-332,BananaShape2
1.42,-1.1,BananaShape1
1.07,646,BananaShape2
-285,1.39,BananaShape2
0.0524,-853,BananaShape2
1.81,-0.0547,BananaShape2
-379,638,BananaShape1
-1.14,1.16,BananaShape2
878,-856,BananaShape1
-1.08,1.19,BananaShape2
0.13,-469,BananaShape1
224,1.57,BananaShape1
2.13,1.16,BananaShape1
-604,-1.2,BananaShape2
-109,-1.32,BananaShape2
0.0803,-1.15,BananaShape2
383,-987,BananaShape2
799,-834,BananaShape1
866,612,BananaShape2
897,294,BananaShape2
2.46,1.21,BananaShape1
-267,1.37,BananaShape2
2.04,-462,BananaShape2
-1.17,-556,BananaShape1
-1.49,555,BananaShape2
1.08,-1.76,BananaShape1
2.03,984,BananaShape1
1.17,1.28,BananaShape2
-448,0.91,BananaShape2
1.07,573,BananaShape2
1.05,776,BananaShape2
1.2,0.0691,BananaShape2
-973,712,BananaShape2
0.0399,-1.28,BananaShape2
-522,206,BananaShape1
1.46,-1.61,BananaShape1
-912,1.34,BananaShape2
-375,-1.39,BananaShape2
-117,1.47,BananaShape2
388,863,BananaShape2
-1.53,0.0251,BananaShape1
1.38,1.27,BananaShape2
237,-1.26,BananaShape2
1.63,-2.16,BananaShape1
-148,1.6,BananaShape2
159,586,BananaShape1
262,-538,BananaShape1
-1.83,-964,BananaShape1
-1.65,-731,BananaShape1
737,-183,BananaShape1
711,787,BananaShape2
953,1.14,BananaShape1
-284,-1.02,BananaShape2
1.47,-1.29,BananaShape1
-0.89,-1.18,BananaShape1
1.7,157,BananaShape2
-451,723,BananaShape1
-499,-858,BananaShape2
-515,625,BananaShape1
1.16,776,BananaShape2
-1.55,-132,BananaShape1
-325,388,BananaShape1
372,-809,BananaShape2
335,1.99,BananaShape2
-595,625,BananaShape1
-1.03,-0.95,BananaShape1
452,1.95,BananaShape1
656,1.25,BananaShape2
-872,-461,BananaShape1
425,0.0454,BananaShape1
-1.24,788,BananaShape2
524,283,BananaShape1
0.83,692,BananaShape2
347,-242,BananaShape1
1.29,622,BananaShape2
-106,552,BananaShape1
-353,-836,BananaShape2
-1.28,-0.00494,BananaShape1
-172,-676,BananaShape1
303,-1.18,BananaShape2
455,-869,BananaShape1
-964,-1.17,BananaShape2
-1.85,-467,BananaShape1
632,1.45,BananaShape1
552,-199,BananaShape1
2.14,-453,BananaShape2
-688,709,BananaShape1
-0.0708,439,BananaShape1
177,-1.37,BananaShape2
-135,136,BananaShape1
-288,385,BananaShape1
-974,-818,BananaShape1
-511,-734,BananaShape2
449,648,BananaShape2
-1.51,-193,BananaShape1
565,1.56,BananaShape1
1.19,0.19,BananaShape2
-1.13,-622,BananaShape1
651,-1.08,BananaShape2
-542,1.12,BananaShape2
1.57,171,BananaShape2
1.09,-538,BananaShape1
-399,1.3,BananaShape2
1.36,-1.06,BananaShape1
614,-705,BananaShape1
823,-248,BananaShape1
894,-992,BananaShape1
-731,-906,BananaShape2
17,-1.26,BananaShape2
-487,-1.13,BananaShape2
-1.03,277,BananaShape1
816,762,BananaShape2
1.03,1.61,BananaShape2
889,-566,BananaShape1
1.2,-944,BananaShape1
-375,1.36,BananaShape2
1.46,1.69,BananaShape1
587,322,BananaShape1
985,1.16,BananaShape2
1.11,-476,BananaShape1
1.18,-789,BananaShape2
386,1.92,BananaShape2
-1.29,-1.03,BananaShape1
921,0.3,BananaShape2
-835,-1.04,BananaShape2
-1.04,-1.42,BananaShape2
-356,-1.16,BananaShape2
0.74,203,BananaShape1
-879,-975,BananaShape2
-603,1.3,BananaShape2
-1.05,-0.4,BananaShape1
-501,-1.43,BananaShape2
501,0.0251,BananaShape1
-0.55,-1.07,BananaShape2
133,2.04,BananaShape1
1.5,541,BananaShape2
-741,979,BananaShape2
764,381,BananaShape1
1.02,-549,BananaShape1
1.23,2.19,BananaShape2
0.4,-1.39,BananaShape2
-167,-633,BananaShape1
995,-1.63,BananaShape1
422,2.33,BananaShape2
0.45,1.6,BananaShape2
115,1.41,BananaShape1
0.00914,431,BananaShape1
-992,1.4,BananaShape2
-0.95,144,BananaShape1
297,-1.11,BananaShape1
953,719,BananaShape2
-683,419,BananaShape1
0.44,-778,BananaShape2
-785,-1.11,BananaShape2
182,-0.0823,BananaShape1
1.32,-1.23,BananaShape1
-762,-1.11,BananaShape2
977,-1.01,BananaShape1
395,-1.04,BananaShape2
-1.16,1.03,BananaShape2
786,945,BananaShape2
-0.0267,-1.09,BananaShape2
-1.39,1.09,BananaShape2
1.88,-141,BananaShape2
-1.81,0.0758,BananaShape1
-0.0931,1.52,BananaShape2
-0.0677,-394,BananaShape1
-544,-773,BananaShape2
175,-345,BananaShape1
-1.07,-456,BananaShape1
534,-763,BananaShape1
-737,-617,BananaShape2
-291,-858,BananaShape2
-753,-1.25,BananaShape2
875,1.82,BananaShape1
518,1.41,BananaShape2
0.0526,-1.31,BananaShape2
-0.0198,-1.22,BananaShape2
0.28,429,BananaShape1
1.19,-1.33,BananaShape1
-926,694,BananaShape2
1.3,-1.28,BananaShape1
1.46,-1.32,BananaShape1
475,-381,BananaShape1
685,546,BananaShape2
-1.33,-0.0457,BananaShape1
-943,-1.26,BananaShape2
226,-1.02,BananaShape2
971,0.64,BananaShape2
0.49,-0.0477,BananaShape1
-343,-1.39,BananaShape2
301,-928,BananaShape2
343,-1.14,BananaShape2
-625,-1.14,BananaShape2
2.2,935,BananaShape1
-429,1.13,BananaShape2
-761,-1.44,BananaShape2
-409,349,BananaShape1
1.07,-1.38,BananaShape1
209,-455,BananaShape1
521,375,BananaShape1
575,1.42,BananaShape1
-1.23,-1.15,BananaShape1
1.11,989,BananaShape2
-595,1.09,BananaShape2
1.2,361,BananaShape2
-629,809,BananaShape1
1.15,-1.01,BananaShape1
238,-551,BananaShape1
-1.02,409,BananaShape1
-0.0743,-1.38,BananaShape2
393,1.64,BananaShape2
-126,-1.67,BananaShape2
1.14,-1.57,BananaShape1
-1.82,-665,BananaShape1
636,756,BananaShape2
-1.14,915,BananaShape2
-1.2,0.4,BananaShape1
1.57,-0.0786,BananaShape2
196,-1.71,BananaShape2
-1.42,275,BananaShape2
1.89,-243,BananaShape2
-1.64,767,BananaShape2
1.1,-364,BananaShape1
-113,626,BananaShape1
-0.48,0.0507,BananaShape1
-415,-1.3,BananaShape2
1.28,-341,BananaShape1
399,-594,BananaShape1
1.01,-205,BananaShape1
-0.4,-1.37,BananaShape2
-239,-619,BananaShape2
-1.53,-1.72,BananaShape1
0.0745,-607,BananaShape1
1.53,0.0838,BananaShape2
2.75,1.47,BananaShape1
0.26,-1.17,BananaShape2
1.08,1.03,BananaShape2
-239,-1.17,BananaShape2
1.09,1.21,BananaShape2
-1.19,-1,BananaShape1
1.29,-0.12,BananaShape2
844,-402,BananaShape1
224,1.75,BananaShape1
-1.42,1.13,BananaShape2
1.31,-1.08,BananaShape1
-275,1.52,BananaShape1
948,1.41,BananaShape2
-999,906,BananaShape2
-1.63,279,BananaShape1
1.13,1.51,BananaShape1
1.24,809,BananaShape2
0.0941,1.44,BananaShape2
-636,1.72,BananaShape2
-1.26,-457,BananaShape1
249,-1.46,BananaShape2
-1.02,675,BananaShape2
-1.77,1.01,BananaShape2
-292,1.32,BananaShape2
391,-1.42,BananaShape2
377,1.72,BananaShape1
-826,-1.67,BananaShape2
-528,296,BananaShape1
-0.00835,1.76,BananaShape2
1.64,-152,BananaShape2
317,-1.13,BananaShape2
1,-0.0347,BananaShape2
-2,-2.1,BananaShape1
0.0394,-1.35,BananaShape2
-633,-1.18,BananaShape2
0.0927,-1.02,BananaShape2
-389,-1.32,BananaShape2
0.83,1.67,BananaShape1
1.12,1.01,BananaShape2
176,1.23,BananaShape2
991,594,BananaShape2
-0.0545,-1.45,BananaShape2
927,-1.12,BananaShape1
-1.78,819,BananaShape2
-0.0207,-1.14,BananaShape2
915,611,BananaShape2
-2.98,-0.16,BananaShape2
-1.81,-1.21,BananaShape1
-0.0982,395,BananaShape1
0.98,766,BananaShape2
0.47,-765,BananaShape1
1.41,0.9,BananaShape2
-1.55,1.05,BananaShape2
-1.53,0.39,BananaShape2
621,1.48,BananaShape1
0.47,1.21,BananaShape2
805,1.21,BananaShape2
-1.4,-386,BananaShape1
-2.14,-1.59,BananaShape1
974,898,BananaShape2
-1.16,-641,BananaShape2
947,-888,BananaShape1
1.52,-0.85,BananaShape1
0.39,-1.2,BananaShape2
-1.82,-899,BananaShape1
-1.42,-617,BananaShape1
-927,-406,BananaShape1
0.64,1.35,BananaShape2
-0.2,-1.02,BananaShape2
-0.0611,-1.4,BananaShape2
-1.06,181,BananaShape1
1.22,541,BananaShape2
-0.56,1.06,BananaShape2
1.79,-834,BananaShape2
362,1.59,BananaShape2
2.55,1.4,BananaShape1
-248,514,BananaShape1
-908,1.26,BananaShape2
1.91,1.37,BananaShape1
-1.35,-688,BananaShape1
-0.0906,2.01,BananaShape2
409,212,BananaShape1
-0.69,-1.33,BananaShape2
-1.51,213,BananaShape1
923,1.54,BananaShape1
-687,-458,BananaShape1
-928,1.55,BananaShape2
1.01,-935,BananaShape1
-0.44,1.22,BananaShape2
921,1.12,BananaShape1
-1.65,-2.05,BananaShape1
-1.57,-772,BananaShape1
2.32,1.32,BananaShape1
-0.64,-238,BananaShape1
1.21,-271,BananaShape2
484,1.04,BananaShape2
1.26,-0.25,BananaShape2
-659,-1.27,BananaShape2
0.0558,1.88,BananaShape2
-1.7,-87,BananaShape2
739,673,BananaShape2
0.67,784,BananaShape2
592,235,BananaShape1
-1.64,-1.91,BananaShape1
-1.74,-521,BananaShape1
-2.1,-1.06,BananaShape1
487,1.33,BananaShape2
-772,-1.38,BananaShape2
-856,-664,BananaShape1
0.0844,1.72,BananaShape1
-792,-132,BananaShape1
-954,848,BananaShape2
-1.39,-1.35,BananaShape1
1.4,855,BananaShape2
1.3,1.04,BananaShape2
299,-819,BananaShape2
-1.1,-1.13,BananaShape2
1.03,-1.12,BananaShape1
-1.3,-811,BananaShape1
-178,-1.15,BananaShape2
2.05,-105,BananaShape2
-1.38,0.0973,BananaShape1
-1.01,-1.23,BananaShape2
534,2.15,BananaShape2
388,-0.0851,BananaShape1
484,1.04,BananaShape2
646,778,BananaShape2
-1.3,867,BananaShape2
-1.38,-149,BananaShape1
-1.02,849,BananaShape2
0.0971,1.58,BananaShape1
606,1.77,BananaShape1
129,1.52,BananaShape2
689,-506,BananaShape1
-811,-1.15,BananaShape2
318,1.82,BananaShape1
1.89,1.34,BananaShape1
326,1.45,BananaShape2
-655,-1.44,BananaShape2
1.85,1.61,BananaShape1
1.15,1.49,BananaShape1
261,214,BananaShape1
-108,-793,BananaShape1
-1.08,-1.39,BananaShape2
342,-701,BananaShape2
-0.0615,299,BananaShape1
905,-994,BananaShape1
318,621,BananaShape1
851,598,BananaShape2
-0.66,1.41,BananaShape2
908,127,BananaShape2
1.18,1.36,BananaShape1
999,811,BananaShape2
-1.04,-0.0359,BananaShape1
-492,124,BananaShape1
409,-1.15,BananaShape2
1.31,936,BananaShape2
1.23,-1.4,BananaShape1
-1.82,-1.78,BananaShape1
-0.0723,-428,BananaShape1
-0.0681,-1.24,BananaShape2
-0.96,644,BananaShape2
974,-1.47,BananaShape1
0.0292,-1.21,BananaShape2
-852,1.32,BananaShape2
-777,1.22,BananaShape2
-379,-1.6,BananaShape2
